income_mean,income_median,year,poverty_absolute,poverty_hardcore,poverty_relative
264,166,1970,49.3,,
505,308,1976,37.7,,
678,429,1979,37.4,,
1098,719,1984,20.7,6.9,
1083,738,1987,19.4,5.1,
1169,816,1989,16.5,3.9,
1566,1077,1992,12.4,2.9,
2020,1377,1995,8.7,2.0,19.5
2606,1724,1997,6.1,1.4,19.7
2472,1704,1999,7.5,1.4,19.0
3011,2049,2002,5.1,1.0,20.0
3249,2211,2004,5.7,1.2,19.9
3686,2552,2007,3.6,0.7,17.4
4025,2841,2009,3.8,0.7,19.3
5000,3626,2012,1.7,0.2,19.2
6141,4585,2014,0.6,0.1,15.6
6958,5228,2016,0.4,0.0,15.9
7901,5873,2019,5.6,0.4,16.9
7089,5209,2020,8.4,1.0,16.2
8479,6338,2022,6.2,0.2,16.6
