state,income_mean,income_median,year,state_geo,poverty_absolute,poverty_hardcore,poverty_relative,mean_median_gap,mean_median_ratio,state_order,vulnerability_order,vulnerability_group,vulnerability_rank,highlight_slope,income_median_2019,poverty_absolute_2019,income_index_2019,highlight_recovery
Johor,8013,6427.0,2019,Johor,3.9,0.2,15.3,1586.0,1.2467714330169597,0,6,Moderate vulnerability,6,False,6427.0,3.9,100.0,False
Johor,7264,5690.0,2020,Johor,5.9,0.6,13.9,1574.0,1.2766256590509666,0,6,Moderate vulnerability,6,False,6427.0,3.9,88.53275245059903,False
Johor,8517,6879.0,2022,Johor,4.6,0.1,15.9,1638.0,1.2381160052333189,0,6,Moderate vulnerability,6,False,6427.0,3.9,107.0328302473938,False
Kedah,5522,4325.0,2019,Kedah,8.8,0.5,10.9,1197.0,1.2767630057803467,1,5,High vulnerability,5,False,4325.0,8.8,100.0,False
Kedah,5005,3829.0,2020,Kedah,12.7,1.5,10.0,1176.0,1.3071297989031079,1,5,High vulnerability,5,False,4325.0,8.8,88.53179190751445,False
Kedah,5550,4402.0,2022,Kedah,9.0,0.3,11.9,1148.0,1.2607905497501135,1,5,High vulnerability,5,False,4325.0,8.8,101.78034682080926,False
Kelantan,4874,3563.0,2019,Kelantan,12.4,1.0,9.9,1311.0,1.3679483581251755,2,3,High vulnerability,3,True,3563.0,12.4,100.0,True
Kelantan,4411,3010.0,2020,Kelantan,21.2,4.1,11.4,1401.0,1.4654485049833887,2,3,High vulnerability,3,True,3563.0,12.4,84.47937131630648,True
Kelantan,4885,3614.0,2022,Kelantan,13.2,0.8,12.2,1271.0,1.3516878804648589,2,3,High vulnerability,3,True,3563.0,12.4,101.43137805220319,True
Melaka,7741,6054.0,2019,Melaka,3.9,0.3,17.0,1687.0,1.2786587380244467,3,10,Moderate vulnerability,10,False,6054.0,3.9,100.0,False
Melaka,7186,5447.0,2020,Melaka,6.1,1.1,14.4,1739.0,1.3192583073251332,3,10,Moderate vulnerability,10,False,6054.0,3.9,89.97357119259993,False
Melaka,8057,6210.0,2022,Melaka,4.2,0.1,13.2,1847.0,1.2974235104669887,3,10,Moderate vulnerability,10,False,6054.0,3.9,102.57680872150645,False
Negeri Sembilan,6707,5005.0,2019,Negeri Sembilan,4.3,0.4,11.6,1702.0,1.34005994005994,4,7,Moderate vulnerability,7,False,5005.0,4.3,100.0,False
Negeri Sembilan,6184,4478.0,2020,Negeri Sembilan,6.5,1.2,10.5,1706.0,1.3809736489504243,4,7,Moderate vulnerability,7,False,5005.0,4.3,89.47052947052947,False
Negeri Sembilan,6788,5226.0,2022,Negeri Sembilan,4.4,0.1,13.3,1562.0,1.2988901645618063,4,7,Moderate vulnerability,7,False,5005.0,4.3,104.4155844155844,False
Pahang,5667,4440.0,2019,Pahang,4.3,0.1,6.0,1227.0,1.2763513513513514,5,11,Lower vulnerability,11,False,4440.0,4.3,100.0,False
Pahang,5144,4033.0,2020,Pahang,8.8,1.0,7.3,1111.0,1.27547731217456,5,11,Lower vulnerability,11,False,4440.0,4.3,90.83333333333333,False
Pahang,5777,4753.0,2022,Pahang,6.3,0.1,7.7,1024.0,1.2154428781822006,5,11,Lower vulnerability,11,False,4440.0,4.3,107.04954954954955,False
Perak,5645,4273.0,2019,Perak,7.3,0.5,11.3,1372.0,1.3210858881348,6,4,High vulnerability,4,False,4273.0,7.3,100.0,False
Perak,5081,3759.0,2020,Perak,11.4,1.5,11.1,1322.0,1.3516892790635808,6,4,High vulnerability,4,False,4273.0,7.3,87.97098057570794,False
Perak,5779,4494.0,2022,Perak,7.5,0.2,13.5,1285.0,1.2859368046283934,6,4,High vulnerability,4,False,4273.0,7.3,105.17201029721508,False
Perlis,5476,4594.0,2019,Perlis,3.9,0.3,12.0,882.0,1.191989551589029,7,8,Moderate vulnerability,8,False,4594.0,3.9,100.0,False
Perlis,4971,4043.0,2020,Perlis,9.9,1.4,14.3,928.0,1.229532525352461,7,8,Moderate vulnerability,8,False,4594.0,3.9,88.00609490639965,False
Perlis,5664,4713.0,2022,Perlis,4.0,0.1,12.6,951.0,1.2017823042647995,7,8,Moderate vulnerability,8,False,4594.0,3.9,102.590335219852,False
Pulau Pinang,7774,6169.0,2019,Pulau Pinang,1.9,0.1,13.2,1605.0,1.2601718268763171,8,9,Moderate vulnerability,9,False,6169.0,1.9,100.0,False
Pulau Pinang,6850,5474.0,2020,Pulau Pinang,3.3,0.3,12.2,1376.0,1.2513701132626964,8,9,Moderate vulnerability,9,False,6169.0,1.9,88.73399254336198,False
Pulau Pinang,8267,6502.0,2022,Pulau Pinang,2.0,0.1,15.3,1765.0,1.2714549369424792,8,9,Moderate vulnerability,9,False,6169.0,1.9,105.39795752958341,False
Sabah,5745,4235.0,2019,Sabah,19.5,1.5,14.7,1510.0,1.3565525383707202,9,1,High vulnerability,1,True,4235.0,19.5,100.0,True
Sabah,5215,3773.0,2020,Sabah,25.3,2.7,13.2,1442.0,1.3821892393320965,9,1,High vulnerability,1,True,4235.0,19.5,89.0909090909091,True
Sabah,6171,4577.0,2022,Sabah,19.7,1.2,14.5,1594.0,1.348263054402447,9,1,High vulnerability,1,True,4235.0,19.5,108.07556080283354,True
Sarawak,5959,4544.0,2019,Sarawak,9.0,0.4,15.2,1415.0,1.311399647887324,10,2,High vulnerability,2,True,4544.0,9.0,100.0,True
Sarawak,5087,3831.0,2020,Sarawak,12.9,0.9,12.3,1256.0,1.3278517358392066,10,2,High vulnerability,2,True,4544.0,9.0,84.30897887323944,True
Sarawak,6457,4978.0,2022,Sarawak,10.8,0.4,16.2,1479.0,1.2971072719967858,10,2,High vulnerability,2,True,4544.0,9.0,109.55105633802818,True
Selangor,10827,8210.0,2019,Selangor,1.2,0.2,15.3,2617.0,1.3187576126674787,11,13,Lower vulnerability,13,True,8210.0,1.2,100.0,True
Selangor,9668,7300.0,2020,Selangor,1.7,0.3,13.9,2368.0,1.3243835616438355,11,13,Lower vulnerability,13,True,8210.0,1.2,88.91595615103533,True
Selangor,12233,9983.0,2022,Selangor,1.5,0.0,14.2,2250.0,1.2253831513573075,11,13,Lower vulnerability,13,True,8210.0,1.2,121.59561510353227,True
Terengganu,6815,5545.0,2019,Terengganu,6.1,0.3,8.2,1270.0,1.2290351668169521,12,12,Lower vulnerability,12,False,5545.0,6.1,100.0,False
Terengganu,6051,4790.0,2020,Terengganu,12.0,1.1,10.7,1261.0,1.2632567849686847,12,12,Lower vulnerability,12,False,5545.0,6.1,86.38412984670875,False
Terengganu,7248,5878.0,2022,Terengganu,6.2,0.2,6.9,1370.0,1.2330724736304866,12,12,Lower vulnerability,12,False,5545.0,6.1,106.0054102795311,False
W.P. Kuala Lumpur,13257,10549.0,2019,Kuala Lumpur,0.2,0.0,10.6,2708.0,1.2567067968527823,13,14,Lower vulnerability,14,True,10549.0,0.2,100.0,True
W.P. Kuala Lumpur,11728,9093.0,2020,Kuala Lumpur,0.4,0.0,9.1,2635.0,1.2897833498295392,13,14,Lower vulnerability,14,True,10549.0,0.2,86.19774386197744,True
W.P. Kuala Lumpur,13325,10234.0,2022,Kuala Lumpur,1.4,0.0,12.7,3091.0,1.3020324408833301,13,14,Lower vulnerability,14,True,10549.0,0.2,97.01393497013935,True
W.P. Labuan,8319,6726.0,2019,Labuan,3.1,0.0,12.9,1593.0,1.236842105263158,14,15,Lower vulnerability,15,False,6726.0,3.1,100.0,False
W.P. Labuan,7333,6126.0,2020,Labuan,5.2,0.1,11.8,1207.0,1.1970290564805746,14,15,Lower vulnerability,15,False,6726.0,3.1,91.07939339875112,False
W.P. Labuan,8250,6904.0,2022,Labuan,2.5,0.0,7.0,1346.0,1.1949594438006952,14,15,Lower vulnerability,15,False,6726.0,3.1,102.64644662503717,False
W.P. Putrajaya,12840,9983.0,2019,Putrajaya,0.4,0.0,12.1,2857.0,1.2861865170790343,15,16,Lower vulnerability,16,True,9983.0,0.4,100.0,True
W.P. Putrajaya,12322,9743.0,2020,Putrajaya,0.2,0.0,11.2,2579.0,1.2647028635943756,15,16,Lower vulnerability,16,True,9983.0,0.4,97.59591305218872,True
W.P. Putrajaya,13473,10056.0,2022,Putrajaya,0.1,0.0,11.4,3417.0,1.3397971360381862,15,16,Lower vulnerability,16,True,9983.0,0.4,100.7312431132926,True
