state,income_mean,income_median,year,state_geo,poverty_absolute,poverty_hardcore,poverty_relative,mean_median_gap,mean_median_ratio,state_order,vulnerability_order,vulnerability_group,vulnerability_rank,highlight_slope,income_median_2007,poverty_absolute_2007,income_median_2022,poverty_absolute_2022,income_change_pct_2007_2022,poverty_change_2007_2022
Johor,3457,2726.0,2007,Johor,1.5,0.2,14.2,731.0,1.2681584739545122,0,6,Moderate vulnerability,6,False,2726.0,1.5,6879.0,4.6,152.34776228906824,3.0999999999999996
Johor,8517,6879.0,2022,Johor,4.6,0.1,15.9,1638.0,1.2381160052333189,0,6,Moderate vulnerability,6,False,2726.0,1.5,6879.0,4.6,152.34776228906824,3.0999999999999996
Kedah,2408,1756.0,2007,Kedah,3.1,0.3,11.8,652.0,1.3712984054669703,1,5,High vulnerability,5,False,1756.0,3.1,4402.0,9.0,150.6833712984055,5.9
Kedah,5550,4402.0,2022,Kedah,9.0,0.3,11.9,1148.0,1.2607905497501135,1,5,High vulnerability,5,False,1756.0,3.1,4402.0,9.0,150.6833712984055,5.9
Kelantan,2143,1510.0,2007,Kelantan,7.2,1.5,10.2,633.0,1.419205298013245,2,3,High vulnerability,3,True,1510.0,7.2,3614.0,13.2,139.33774834437088,5.999999999999999
Kelantan,4885,3614.0,2022,Kelantan,13.2,0.8,12.2,1271.0,1.3516878804648589,2,3,High vulnerability,3,True,1510.0,7.2,3614.0,13.2,139.33774834437088,5.999999999999999
Melaka,3421,2717.0,2007,Melaka,1.8,0.2,16.5,704.0,1.2591093117408907,3,10,Moderate vulnerability,10,False,2717.0,1.8,6210.0,4.2,128.5609127714391,2.4000000000000004
Melaka,8057,6210.0,2022,Melaka,4.2,0.1,13.2,1847.0,1.2974235104669887,3,10,Moderate vulnerability,10,False,2717.0,1.8,6210.0,4.2,128.5609127714391,2.4000000000000004
Negeri Sembilan,3336,2556.0,2007,Negeri Sembilan,1.3,0.1,15.3,780.0,1.3051643192488263,4,7,Moderate vulnerability,7,False,2556.0,1.3,5226.0,4.4,104.46009389671363,3.1000000000000005
Negeri Sembilan,6788,5226.0,2022,Negeri Sembilan,4.4,0.1,13.3,1562.0,1.2988901645618063,4,7,Moderate vulnerability,7,False,2556.0,1.3,5226.0,4.4,104.46009389671363,3.1000000000000005
Pahang,2995,2235.0,2007,Pahang,1.7,0.4,9.4,760.0,1.3400447427293065,5,11,Lower vulnerability,11,False,2235.0,1.7,4753.0,6.3,112.66219239373602,4.6
Pahang,5777,4753.0,2022,Pahang,6.3,0.1,7.7,1024.0,1.2154428781822006,5,11,Lower vulnerability,11,False,2235.0,1.7,4753.0,6.3,112.66219239373602,4.6
Perak,2545,1905.0,2007,Perak,3.4,0.7,14.3,640.0,1.3359580052493438,6,4,High vulnerability,4,False,1905.0,3.4,4494.0,7.5,135.90551181102362,4.1
Perak,5779,4494.0,2022,Perak,7.5,0.2,13.5,1285.0,1.2859368046283934,6,4,High vulnerability,4,False,1905.0,3.4,4494.0,7.5,135.90551181102362,4.1
Perlis,2541,1746.0,2007,Perlis,6.8,1.4,18.9,795.0,1.4553264604810996,7,8,Moderate vulnerability,8,False,1746.0,6.8,4713.0,4.0,169.93127147766322,-2.8
Perlis,5664,4713.0,2022,Perlis,4.0,0.1,12.6,951.0,1.2017823042647995,7,8,Moderate vulnerability,8,False,1746.0,6.8,4713.0,4.0,169.93127147766322,-2.8
Pulau Pinang,4004,2902.0,2007,Pulau Pinang,1.4,0.1,15.2,1102.0,1.3797381116471399,8,9,Moderate vulnerability,9,False,2902.0,1.4,6502.0,2.0,124.05237767057203,0.6000000000000001
Pulau Pinang,8267,6502.0,2022,Pulau Pinang,2.0,0.1,15.3,1765.0,1.2714549369424792,8,9,Moderate vulnerability,9,False,2902.0,1.4,6502.0,2.0,124.05237767057203,0.6000000000000001
Sabah,2837,1189.0,2007,Sabah,16.4,3.8,15.8,1648.0,2.3860386879730866,9,1,High vulnerability,1,True,1189.0,16.4,4577.0,19.7,284.9453322119428,3.3000000000000007
Sabah,6171,4577.0,2022,Sabah,19.7,1.2,14.5,1594.0,1.348263054402447,9,1,High vulnerability,1,True,1189.0,16.4,4577.0,19.7,284.9453322119428,3.3000000000000007
Sarawak,3349,2250.0,2007,Sarawak,4.2,0.7,13.6,1099.0,1.4884444444444445,10,2,High vulnerability,2,True,2250.0,4.2,4978.0,10.8,121.24444444444444,6.6000000000000005
Sarawak,6457,4978.0,2022,Sarawak,10.8,0.4,16.2,1479.0,1.2971072719967858,10,2,High vulnerability,2,True,2250.0,4.2,4978.0,10.8,121.24444444444444,6.6000000000000005
Selangor,5580,4046.0,2007,Selangor,0.7,0.1,16.0,1534.0,1.3791398912506179,11,13,Lower vulnerability,13,True,4046.0,0.7,9983.0,1.5,146.7375185368265,0.8
Selangor,12233,9983.0,2022,Selangor,1.5,0.0,14.2,2250.0,1.2253831513573075,11,13,Lower vulnerability,13,True,4046.0,0.7,9983.0,1.5,146.7375185368265,0.8
