state,income_mean,income_median,year,state_geo,poverty_absolute,poverty_hardcore,poverty_relative,mean_median_gap,mean_median_ratio,income_class,poverty_class,bivariate_class,z_low_income,z_abs_poverty,z_rel_poverty,vulnerability_score,income_rank,poverty_rank
Johor,8517,6879.0,2022,Johor,4.6,0.1,15.9,1638.0,1.2381160052333189,High income,Middle poverty,High income + Middle poverty,-0.3212923081446389,-0.3012677536851092,1.2336409496864489,0.20369362928556692,5,8
Kedah,5550,4402.0,2022,Kedah,9.0,0.3,11.9,1148.0,1.2607905497501135,Low income,High poverty,Low income + High poverty,0.8731037856916174,0.5898771983918522,-0.178756559793564,0.4280748080966352,15,4
Kelantan,4885,3614.0,2022,Kelantan,13.2,0.8,12.2,1271.0,1.3516878804648589,Low income,High poverty,Low income + High poverty,1.2530731526447745,1.4405155617380423,-0.07282674658256341,0.8735873226000845,16,2
Melaka,8057,6210.0,2022,Melaka,4.2,0.1,13.2,1847.0,1.2974235104669887,Middle income,Middle poverty,Middle income + Middle poverty,0.001295898063054073,-0.382280931146651,0.2802726307874398,-0.03357080076538571,7,10
Negeri Sembilan,6788,5226.0,2022,Negeri Sembilan,4.4,0.1,13.3,1562.0,1.2988901645618063,Middle income,Middle poverty,Middle income + Middle poverty,0.4757754121263872,-0.34177434241588,0.3155825685244406,0.1498612127449826,9,9
Pahang,5777,4753.0,2022,Pahang,6.3,0.1,7.7,1024.0,1.2154428781822006,Low income,Middle poverty,Low income + Middle poverty,0.7038534712239041,0.04303825052644404,-1.6617739447475777,-0.3049607409990765,11,6
Perak,5779,4494.0,2022,Perak,7.5,0.2,13.5,1285.0,1.2859368046283934,Low income,High poverty,Low income + High poverty,0.8287418799052082,0.2860777829110699,0.386202443998441,0.500340702271573,14,5
Perlis,5664,4713.0,2022,Perlis,4.0,0.1,12.6,951.0,1.2017823042647995,Low income,Low poverty,Low income + Low poverty,0.7231412563484297,-0.422787519877422,0.068413004365438,0.12292224694548191,12,11
Pulau Pinang,8267,6502.0,2022,Pulau Pinang,2.0,0.1,15.3,1765.0,1.2714549369424792,Middle income,Low poverty,Middle income + Low poverty,-0.1395049333459838,-0.8278534071851317,1.021781323264447,0.018140994244443858,6,13
Sabah,6171,4577.0,2022,Sabah,19.7,1.2,14.5,1594.0,1.348263054402447,Low income,High poverty,Low income + High poverty,0.7887197257718173,2.7569796954880985,0.7393018213684442,1.4283337475427869,13,1
Sarawak,6457,4978.0,2022,Sarawak,10.8,0.4,16.2,1479.0,1.2971072719967858,Middle income,High poverty,Middle income + High poverty,0.5953596798984467,0.954436496968791,1.3395707628974494,0.9631223132548957,10,3
Selangor,12233,9983.0,2022,Selangor,1.5,0.0,14.2,2250.0,1.2253831513573075,High income,Low poverty,High income + Low poverty,-1.818024433807836,-0.9291198790120591,0.633372008157443,-0.7045907682208172,3,14
Terengganu,7248,5878.0,2022,Terengganu,6.2,0.2,6.9,1370.0,1.2330724736304866,Middle income,Middle poverty,Middle income + Middle poverty,0.16138451459661768,0.022784956161058634,-1.9442534466435801,-0.5866946586286347,8,7
W.P. Kuala Lumpur,13325,10234.0,2022,Kuala Lumpur,1.4,0.0,12.7,3091.0,1.3020324408833301,High income,Low poverty,High income + Low poverty,-1.9390552854642351,-0.9493731733774445,0.1037229421024382,-0.9282351722464138,1,15
W.P. Labuan,8250,6904.0,2022,Labuan,2.5,0.0,7.0,1346.0,1.1949594438006952,High income,Low poverty,High income + Low poverty,-0.3333471738474675,-0.7265869353582043,-1.9089435089065798,-0.9896258727040839,4,12
W.P. Putrajaya,13473,10056.0,2022,Putrajaya,0.1,0.0,11.4,3417.0,1.3397971360381862,High income,Low poverty,High income + Low poverty,-1.8532246416600955,-1.2126660001274558,-0.3553062484785656,-1.140398963422039,2,16
