state,income_mean,income_median,year,state_geo,poverty_absolute,poverty_hardcore,poverty_relative,mean_median_gap,mean_median_ratio,state_order,vulnerability_order,vulnerability_group,vulnerability_rank,highlight_slope
Johor,3457,2726.0,2007,Johor,1.5,0.2,14.2,731.0,1.2681584739545122,0,6,Moderate vulnerability,6,False
Johor,3835,2958.0,2009,Johor,1.3,0.1,17.2,877.0,1.2964841108857337,0,6,Moderate vulnerability,6,False
Johor,4658,3650.0,2012,Johor,0.9,0.1,16.1,1008.0,1.2761643835616439,0,6,Moderate vulnerability,6,False
Johor,6207,5197.0,2014,Johor,0.0,0.0,10.2,1010.0,1.1943428901289206,0,6,Moderate vulnerability,6,False
Johor,6928,5652.0,2016,Johor,0.0,0.0,13.5,1276.0,1.2257607926397736,0,6,Moderate vulnerability,6,False
Johor,8013,6427.0,2019,Johor,3.9,0.2,15.3,1586.0,1.2467714330169597,0,6,Moderate vulnerability,6,False
Johor,7264,5690.0,2020,Johor,5.9,0.6,13.9,1574.0,1.2766256590509666,0,6,Moderate vulnerability,6,False
Johor,8517,6879.0,2022,Johor,4.6,0.1,15.9,1638.0,1.2381160052333189,0,6,Moderate vulnerability,6,False
Kedah,2408,1756.0,2007,Kedah,3.1,0.3,11.8,652.0,1.3712984054669703,1,5,High vulnerability,5,False
Kedah,2667,1966.0,2009,Kedah,5.3,0.8,16.0,701.0,1.356561546286877,1,5,High vulnerability,5,False
Kedah,3425,2633.0,2012,Kedah,1.7,0.1,16.5,792.0,1.3007975693125713,1,5,High vulnerability,5,False
Kedah,4478,3451.0,2014,Kedah,0.3,0.0,12.1,1027.0,1.297594900028977,1,5,High vulnerability,5,False
Kedah,4971,3811.0,2016,Kedah,0.2,0.0,15.9,1160.0,1.3043820519548674,1,5,High vulnerability,5,False
Kedah,5522,4325.0,2019,Kedah,8.8,0.5,10.9,1197.0,1.2767630057803467,1,5,High vulnerability,5,False
Kedah,5005,3829.0,2020,Kedah,12.7,1.5,10.0,1176.0,1.3071297989031079,1,5,High vulnerability,5,False
Kedah,5550,4402.0,2022,Kedah,9.0,0.3,11.9,1148.0,1.2607905497501135,1,5,High vulnerability,5,False
Kelantan,2143,1510.0,2007,Kelantan,7.2,1.5,10.2,633.0,1.419205298013245,2,3,High vulnerability,3,True
Kelantan,2536,1713.0,2009,Kelantan,4.8,1.0,11.4,823.0,1.4804436660828955,2,3,High vulnerability,3,True
Kelantan,3168,2276.0,2012,Kelantan,2.7,0.3,14.3,892.0,1.3919156414762741,2,3,High vulnerability,3,True
Kelantan,3715,2716.0,2014,Kelantan,0.9,0.2,12.4,999.0,1.367820324005891,2,3,High vulnerability,3,True
Kelantan,4214,3079.0,2016,Kelantan,0.4,0.1,12.1,1135.0,1.3686261773303021,2,3,High vulnerability,3,True
Kelantan,4874,3563.0,2019,Kelantan,12.4,1.0,9.9,1311.0,1.3679483581251755,2,3,High vulnerability,3,True
